timeSec,trackE,trackF,trackG,A_mode,A_rg,A_az,A_el,B_mode,B_rg,B_az,B_el,C_mode,C_rg,C_az,Cel
0.000,3136002.12258583,-5444781.10870241,1103740.53233749,28,30000.0,79.8535816463276,-59.8851358055462,1004,30000.0,-29.8246770211408,-0.000292824994345,1004,30000.0,0.00022971920014,0.000350631932441
0.020,3135945.69579091,-5444747.89037925,1103845.83857577,28,30001.0,78.3697830997292,-58.8714109995333,1004,30001.0,-28.3533336729165,-0.135156981503811,1004,30001.0,0.09236563618311,0.134077242504424
0.040,3135974.34575522,-5444764.17562974,1103840.63058336,28,30002.0,66.4613832326582,-44.8008498381378,1004,30002.0,-28.490543902586,-2.3334083558467,1004,30002.0,2.72327610623406,0.052488443786597
0.060,3135983.2095131,-5444756.91262426,1103834.61154845,28,30003.0,39.0569003013645,-15.0165792817828,1004,30003.0,-25.5519653245438,-7.27695377453243,1004,30003.0,8.12438837925944,0.535537585186956
0.080,3135971.13718067,-5444734.05327955,1103841.50841737,28,30004.0,9.46517593037751,10.8633522854318,1004,30004.0,-13.1008550726134,-11.5525711719381,1004,30004.0,11.6557561619239,2.62911120901095
0.100,3135951.10090226,-5444709.20696571,1103861.78650927,28,30005.0,-12.3724129513562,26.3773031706994,1004,30005.0,2.8255883556552,-13.3870452620014,1004,30005.0,12.4023889386139,4.89849692235612
0.120,3135933.20573253,-5444688.01478427,1103886.18184788,28,30006.0,-24.7930487058849,33.491595538923,1004,30006.0,15.6004781675096,-13.1040501690734,1004,30006.0,11.3340167553243,6.27049858254094
0.140,3135920.03228576,-5444670.76931346,1103910.786677,28,30007.0,-30.2011790201236,35.222155599189,1004,30007.0,24.6791427227795,-11.636993317303,1004,30007.0,9.42862342800062,6.8754836559144
0.160,3135911.31605011,-5444656.74212786,1103934.41805063,28,30008.0,-31.0811821653119,33.7313493634013,1004,30008.0,30.8113085267257,-9.68611577724563,1004,30008.0,7.30098711989518,6.94888770137018
0.180,3135906.56003788,-5444645.6874649,1103958.34096618,28,30009.0,-29.0448696616762,30.2833745784332,1004,30009.0,35.1744535447038,-7.6201522853001,1004,30009.0,5.24723297008641,6.73648497825329
0.200,3135904.87118669,-5444635.89008663,1103982.01035709,28,30010.0,-25.3936800694999,26.360131221728,1004,30010.0,37.8739378403355,-5.68250754928646,1004,30010.0,3.52690973652895,6.27560953258636
0.220,3135905.59531817,-5444628.33973311,1104006.52835183,28,30011.0,-20.9002355353289,21.9142373563328,1004,30011.0,39.5744401335193,-3.96151603318816,1004,30011.0,2.05048783069447,5.70713508141147
0.240,3135907.62634673,-5444621.38469301,1104031.10915226,28,30012.0,-16.3489607028176,17.8922212721839,1004,30012.0,40.181237532563,-2.54622361017813,1004,30012.0,0.935130355094138,5.02813874869517
0.260,3135910.8280814,-5444614.53186319,1104055.30148052,28,30013.0,-11.9587907988391,14.5248871661553,1004,30013.0,39.8092533283217,-1.41233276418057,1004,30013.0,0.148545813392466,4.2784256447477
0.280,3135914.3581406,-5444607.36965938,1104080.92746224,28,30014.0,-8.0742955718149,11.9240408199928,1004,30014.0,39.2877374228925,-0.556674968114325,1004,30014.0,-0.353155706247761,3.59969602736677
0.300,3135918.31350407,-5444600.37969558,1104107.41385184,28,30015.0,-4.68861054623993,9.83249984677003,1004,30015.0,38.5523444602522,0.069476066962176,1004,30015.0,-0.668839234120671,2.97471592563182
0.320,3135922.70274593,-5444592.36533118,1104135.36896293,28,30016.0,-1.77886407005823,8.64472511509036,1004,30016.0,37.9122898111602,0.512433100547378,1004,30016.0,-0.759719795829692,2.44523212468422
0.340,3135926.66270324,-5444584.22779465,1104164.64124247,28,30017.0,0.377866435931532,7.87233254151184,1004,30017.0,37.3593990476497,0.755721162807657,1004,30017.0,-0.756390409772325,1.99485571672682
0.360,3135929.27776815,-5444575.33929174,1104196.16546784,28,30018.0,1.58797577862611,7.66736617014814,1004,30018.0,37.2190090257279,0.803548012172356,1004,30018.0,-0.648494847576658,1.66203902047471
0.380,3135931.76184163,-5444565.76481947,1104229.81296375,28,30019.0,2.43244752939041,7.87412670017749,1004,30019.0,37.4791245514264,0.789268984117796,1004,30019.0,-0.485371398472222,1.43816436355052
0.400,3135933.96164887,-5444555.90672731,1104264.79556116,28,30020.0,2.90482745466409,8.23986135776079,1004,30020.0,37.8618555491559,0.717751833504439,1004,30020.0,-0.323299612405259,1.26385786084499
0.420,3135934.82003371,-5444545.95315961,1104303.82793045,28,30021.0,2.79512687565324,8.62288473438347,1004,30021.0,39.2179833392225,0.574160523524027,1004,30021.0,-0.19038649369525,1.26474760353998
0.440,3135935.98553179,-5444535.53498171,1104345.7432629,28,30022.0,2.75542642764222,9.1347311649164,1004,30022.0,41.0763526291952,0.474780472072366,1004,30022.0,-0.05993292603475,1.34847933455845
0.460,3135935.40031149,-5444525.50073312,1104390.40147624,28,30023.0,2.06883171871873,9.42042060982541,1004,30023.0,43.2439552825911,0.284428723315631,1004,30023.0,0.004554632070162,1.46127924114887
0.480,3135935.546273,-5444515.0664884,1104437.72205714,28,30024.0,1.73008616772671,9.79368886057496,1004,30024.0,45.7094471911192,0.190141468149087,1004,30024.0,0.071910753950446,1.61144704470874
0.500,3135934.60608984,-5444504.88105904,1104487.66606212,28,30025.0,1.06063848289778,9.99186848481815,1004,30025.0,48.3345161156783,0.055629935512443,1004,30025.0,0.094508880184459,1.76041523062547
0.520,3135934.1958115,-5444494.5971281,1104538.43094642,28,30026.0,0.641880022650537,10.176031406751,1004,30026.0,50.5454199111874,-0.020143391435016,1004,30026.0,0.111027134861949,1.82520744909256
0.540,3135933.24394808,-5444484.13852746,1104591.48762106,28,30027.0,0.120174500702565,10.3703667159882,1004,30027.0,52.8343072156601,-0.100325270473961,1004,30027.0,0.126410504351365,1.89174838808627
0.560,3135933.34215036,-5444474.03883627,1104646.39650509,28,30028.0,0.064990960415765,10.3660249702196,1004,30028.0,55.0917629811681,-0.086769349264692,1004,30028.0,0.100934197402403,1.95142046486999
0.580,3135932.80496454,-5444463.45062444,1104704.15293152,28,30029.0,-0.164233236798256,10.5255831893632,1004,30029.0,57.569102913407,-0.103580951913792,1004,30029.0,0.110913205194202,2.0335856077907
0.600,3135932.6620548,-5444453.58990392,1104763.99545501,28,30030.0,-0.200862124795867,10.3597713484081,1004,30030.0,60.014020977998,-0.085151528799234,1004,30030.0,0.057899870989282,2.10146613331243
0.620,3135932.26165521,-5444443.46542573,1104825.53704843,28,30031.0,-0.324305266254906,10.3167400584551,1004,30031.0,62.265772350737,-0.089248683648488,1004,30031.0,0.038675033122182,2.12532135494935
0.640,3135932.15255878,-5444434.00906045,1104888.5808079,28,30032.0,-0.329285808767596,10.0244913293374,1004,30032.0,64.311180838379,-0.075278640681249,1004,30032.0,-0.023485905065126,2.11451033649728
0.660,3135932.49807261,-5444423.91161438,1104953.37832537,28,30033.0,-0.17726326099244,10.0326477019968,1004,30033.0,66.2638053897768,-0.0386309495752,1004,30033.0,-0.017613131668253,2.09191294403649
0.680,3135931.92468815,-5444414.27134144,1105021.02112359,28,30034.0,-0.333543915156346,9.87036352353687,1004,30034.0,68.4528542027195,-0.057104237432574,1004,30034.0,-0.044836831893085,2.10605156876844
0.700,3135932.4383664,-5444404.24249065,1105089.62546176,28,30035.0,-0.11904697285203,9.89418347305937,1004,30035.0,70.2943410764174,-0.014659922705253,1004,30035.0,-0.031858341092115,2.06742894699746
